gold,Program,MethodType,RequirementID,MethodID,CallersT,CallersN,CallersU,CallersCallersT,CallersCallersN,CallersCallersU,CalleesT,CalleesN,CalleesU,CalleesCalleesT,CalleesCalleesN,CalleesCalleesU,classGold
N,chess,Inner,5,40,0,1,0,0,1,0,0,1,0,0,0,0,NoTrace
N,chess,Inner,6,40,0,1,0,0,1,0,0,1,0,0,0,0,NoTrace
N,chess,Inner,7,40,0,1,0,0,1,0,0,1,0,0,0,0,NoTrace
N,chess,Inner,8,40,0,1,0,0,1,0,0,1,0,0,0,0,NoTrace
T,chess,Leaf,1,42,1,0,0,1,0,0,0,0,0,0,0,0,Trace
N,chess,Leaf,2,42,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace
N,chess,Leaf,3,42,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace
N,chess,Leaf,4,42,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace
N,chess,Leaf,5,42,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace
N,chess,Leaf,6,42,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace
N,chess,Leaf,7,42,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace
N,chess,Leaf,8,42,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace
T,chess,Inner,1,43,1,0,0,1,0,0,1,0,0,0,0,0,Trace
N,chess,Inner,2,43,0,1,0,0,1,0,0,1,0,0,0,0,NoTrace
N,chess,Inner,3,43,0,1,0,0,1,0,0,1,0,0,0,0,NoTrace
N,chess,Inner,4,43,0,1,0,0,1,0,0,1,0,0,0,0,NoTrace
N,chess,Inner,5,43,0,1,0,0,1,0,0,1,0,0,0,0,NoTrace
N,chess,Inner,6,43,0,1,0,0,1,0,0,1,0,0,0,0,NoTrace
N,chess,Inner,7,43,0,1,0,0,1,0,0,1,0,0,0,0,NoTrace
N,chess,Inner,8,43,0,1,0,0,1,0,0,1,0,0,0,0,NoTrace
T,chess,Leaf,1,44,1,0,0,1,0,0,0,0,0,0,0,0,Trace
N,chess,Leaf,2,44,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace
N,chess,Leaf,3,44,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace
N,chess,Leaf,4,44,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace
N,chess,Leaf,5,44,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace
N,chess,Leaf,6,44,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace
N,chess,Leaf,7,44,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace
N,chess,Leaf,8,44,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace
T,chess,Inner,1,45,1,0,0,1,0,0,1,0,0,0,0,0,Trace
N,chess,Inner,2,45,0,1,0,0,1,0,0,1,0,0,0,0,NoTrace
N,chess,Inner,3,45,0,1,0,0,1,0,0,1,0,0,0,0,NoTrace
N,chess,Inner,4,45,0,1,0,0,1,0,0,1,0,0,0,0,NoTrace
N,chess,Inner,5,45,0,1,0,0,1,0,0,1,0,0,0,0,NoTrace
N,chess,Inner,6,45,0,1,0,0,1,0,0,1,0,0,0,0,NoTrace
N,chess,Inner,7,45,0,1,0,0,1,0,0,1,0,0,0,0,NoTrace
N,chess,Inner,8,45,0,1,0,0,1,0,0,1,0,0,0,0,NoTrace
T,chess,Inner,1,47,1,0,0,1,0,0,1,0,0,0,0,0,Trace
N,chess,Inner,2,47,0,1,0,0,1,0,0,1,0,0,0,0,NoTrace
N,chess,Inner,3,47,0,1,0,0,1,0,0,1,0,0,0,0,NoTrace
N,chess,Inner,4,47,0,1,0,0,1,0,0,1,0,0,0,0,NoTrace
N,chess,Inner,5,47,0,1,0,0,1,0,0,1,0,0,0,0,NoTrace
N,chess,Inner,6,47,0,1,0,0,1,0,0,1,0,0,0,0,NoTrace
N,chess,Inner,7,47,0,1,0,0,1,0,0,1,0,0,0,0,NoTrace
N,chess,Inner,8,47,0,1,0,0,1,0,0,1,0,0,0,0,NoTrace
T,chess,Inner,1,49,1,0,0,1,0,0,1,0,0,0,0,0,Trace
N,chess,Inner,2,49,0,1,0,0,1,0,0,1,0,0,0,0,NoTrace
