gold,Program,MethodType,CallersT,CallersN,CallersU,CallersCallersT,CallersCallersN,CallersCallersU,CalleesT,CalleesN,CalleesU,CalleesCalleesT,CalleesCalleesN,CalleesCalleesU
N,chess,Root,-1,-1,-1,-1,-1,-1,Medium,Low,Medium,High,Low,High
T,chess,Root,-1,-1,-1,-1,-1,-1,Medium,Low,Medium,High,Low,High
N,chess,Root,-1,-1,-1,-1,-1,-1,-1,Medium,Medium,-1,High,High
T,chess,Inner,Low,-1,-1,-1,-1,-1,Medium,-1,-1,High,-1,Medium
N,chess,Inner,-1,Low,-1,-1,-1,-1,-1,Medium,-1,-1,High,Medium
N,chess,Inner,-1,Low,-1,-1,-1,-1,-1,Medium,-1,-1,High,Medium
N,chess,Inner,-1,Low,-1,-1,-1,-1,-1,Medium,-1,-1,High,Medium
N,chess,Inner,-1,Low,-1,-1,-1,-1,-1,Medium,-1,Low,High,Medium
N,chess,Inner,-1,Low,-1,-1,-1,-1,-1,Medium,-1,-1,High,Medium
N,chess,Inner,-1,Low,-1,-1,-1,-1,-1,Medium,-1,-1,High,Medium
N,chess,Inner,-1,Low,-1,-1,-1,-1,-1,Medium,-1,-1,High,Medium
T,chess,Inner,Low,-1,-1,Low,-1,-1,Medium,-1,-1,Medium,-1,-1
N,chess,Inner,-1,Low,-1,-1,Low,-1,-1,Medium,-1,-1,Medium,-1
N,chess,Inner,-1,Low,-1,-1,Low,-1,-1,Medium,-1,-1,Medium,-1
N,chess,Inner,-1,Low,-1,-1,Low,-1,-1,Medium,-1,-1,Medium,-1
T,chess,Inner,-1,Low,-1,-1,Low,-1,Low,Low,-1,Low,Medium,-1
N,chess,Inner,-1,Low,-1,-1,Low,-1,-1,Medium,-1,-1,Medium,-1
N,chess,Inner,-1,Low,-1,-1,Low,-1,-1,Medium,-1,-1,Medium,-1
N,chess,Inner,-1,Low,-1,-1,Low,-1,-1,Medium,-1,-1,Medium,-1
T,chess,Leaf,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1,-1
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1
T,chess,Leaf,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1,-1,-1
N,chess,Leaf,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1,-1,-1
N,chess,Leaf,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1,-1,-1
N,chess,Leaf,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1,-1,-1
N,chess,Leaf,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1,-1,-1
N,chess,Leaf,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1,-1,-1
N,chess,Leaf,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1,-1,-1
N,chess,Leaf,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1,-1,-1
T,chess,Inner,Low,-1,-1,Low,-1,-1,Low,-1,-1,Low,-1,-1
N,chess,Inner,-1,Low,-1,-1,Low,-1,-1,Low,-1,-1,Low,-1
N,chess,Inner,-1,Low,-1,-1,Low,-1,-1,Low,-1,-1,Low,-1
N,chess,Inner,-1,Low,-1,-1,Low,-1,-1,Low,-1,-1,Low,-1
N,chess,Inner,-1,Low,-1,-1,Low,-1,-1,Low,-1,-1,Low,-1
N,chess,Inner,-1,Low,-1,-1,Low,-1,-1,Low,-1,-1,Low,-1
N,chess,Inner,-1,Low,-1,-1,Low,-1,-1,Low,-1,-1,Low,-1
N,chess,Inner,-1,Low,-1,-1,Low,-1,-1,Low,-1,-1,Low,-1
T,chess,Inner,Low,-1,-1,Low,-1,-1,High,-1,Medium,High,Low,-1
N,chess,Inner,-1,Low,-1,-1,Low,-1,-1,High,Medium,Medium,High,-1
N,chess,Inner,-1,Low,-1,-1,Low,-1,-1,High,Medium,-1,High,-1
N,chess,Inner,-1,Low,-1,-1,Low,-1,-1,High,Medium,Medium,High,-1
N,chess,Inner,-1,Low,-1,-1,Low,-1,Low,High,Medium,Low,High,-1
N,chess,Inner,-1,Low,-1,-1,Low,-1,-1,High,Medium,Medium,High,-1
N,chess,Inner,-1,Low,-1,-1,Low,-1,-1,High,Medium,Medium,High,-1
N,chess,Inner,-1,Low,-1,-1,Low,-1,-1,High,Medium,-1,High,-1
T,chess,Root,-1,-1,-1,-1,-1,-1,Low,-1,-1,Medium,-1,-1
N,chess,Root,-1,-1,-1,-1,-1,-1,-1,Low,-1,-1,Medium,-1
N,chess,Root,-1,-1,-1,-1,-1,-1,-1,Low,-1,-1,Medium,-1
N,chess,Root,-1,-1,-1,-1,-1,-1,-1,Low,-1,-1,Medium,-1
N,chess,Root,-1,-1,-1,-1,-1,-1,-1,Low,-1,-1,Medium,-1
N,chess,Root,-1,-1,-1,-1,-1,-1,-1,Low,-1,-1,Medium,-1
N,chess,Root,-1,-1,-1,-1,-1,-1,-1,Low,-1,-1,Medium,-1
N,chess,Root,-1,-1,-1,-1,-1,-1,-1,Low,-1,-1,Medium,-1
T,chess,Leaf,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1,-1
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1
T,chess,Leaf,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1,-1
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1
T,chess,Inner,-1,-1,Low,-1,-1,-1,Medium,-1,Medium,Medium,Low,-1
N,chess,Inner,-1,-1,Low,-1,-1,-1,-1,Medium,Medium,-1,Medium,-1
N,chess,Inner,-1,-1,Low,-1,-1,-1,-1,Medium,Medium,-1,Medium,-1
N,chess,Inner,-1,-1,Low,-1,-1,-1,-1,Medium,Medium,-1,Medium,-1
N,chess,Inner,-1,-1,Low,-1,-1,-1,-1,Medium,Medium,-1,Medium,-1
N,chess,Inner,-1,-1,Low,-1,-1,-1,-1,Medium,Medium,Low,Medium,-1
N,chess,Inner,-1,-1,Low,-1,-1,-1,-1,Medium,Medium,Low,Medium,-1
N,chess,Inner,-1,-1,Low,-1,-1,-1,-1,Medium,Medium,-1,Medium,-1
T,chess,Inner,Low,-1,-1,Low,-1,-1,Medium,-1,-1,-1,-1,-1
N,chess,Inner,-1,Low,-1,-1,Low,-1,-1,Medium,-1,-1,-1,-1
N,chess,Inner,-1,Low,-1,-1,Low,-1,-1,Medium,-1,-1,-1,-1
N,chess,Inner,-1,Low,-1,-1,Low,-1,-1,Medium,-1,-1,-1,-1
N,chess,Inner,-1,Low,-1,-1,Low,-1,-1,Medium,-1,-1,-1,-1
N,chess,Inner,-1,Low,-1,-1,Low,-1,-1,Medium,-1,-1,-1,-1
N,chess,Inner,-1,Low,-1,-1,Low,-1,-1,Medium,-1,-1,-1,-1
N,chess,Inner,-1,Low,-1,-1,Low,-1,-1,Medium,-1,-1,-1,-1
T,chess,Leaf,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1,-1
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1
